title,movie_url,poster_url,rating,genre
My Girl (1991),https://letterboxd.com/film/my-girl/,https://a.ltrbxd.com/resized/film-poster/4/9/5/2/4/49524-my-girl-0-1000-0-1500-crop.jpg?v=1bf8802efb,3.7,comedy
Minari (2020),https://letterboxd.com/film/minari/,https://a.ltrbxd.com/resized/film-poster/5/4/2/4/4/9/542449-minari-0-1000-0-1500-crop.jpg?v=29fbd9f379,4.09,drama
Rudy (1993),https://letterboxd.com/film/rudy/,https://a.ltrbxd.com/resized/film-poster/4/3/0/1/7/43017-rudy-0-1000-0-1500-crop.jpg?v=71dc1f5a12,3.54,history
The Goonies (1985),https://letterboxd.com/film/the-goonies/,https://a.ltrbxd.com/resized/film-poster/4/7/2/5/4/47254-the-goonies-0-1000-0-1500-crop.jpg?v=fc8eb0611b,3.8,adventure
About Fate (2022),https://letterboxd.com/film/about-fate/,https://a.ltrbxd.com/resized/film-poster/7/4/4/4/8/0/744480-about-fate-0-1000-0-1500-crop.jpg?v=a21687b9c9,2.91,romance
Dumb Money (2023),https://letterboxd.com/film/dumb-money/,https://a.ltrbxd.com/resized/film-poster/7/1/0/0/7/3/710073-dumb-money-0-1000-0-1500-crop.jpg?v=3ec94863dd,3.26,drama
Ip Man: The Awakening (2021),https://letterboxd.com/film/ip-man-the-awakening/,https://a.ltrbxd.com/resized/film-poster/7/8/6/9/7/9/786979-ip-man-the-awakening-0-1000-0-1500-crop.jpg?v=8cc3c7fd9a,2.8,
The Blind Side (2009),https://letterboxd.com/film/the-blind-side/,https://a.ltrbxd.com/resized/sm/upload/et/lu/jq/mu/the-blind-side-0-1000-0-1500-crop.jpg?v=075ead1c26,3.33,drama
The Sum of All Fears (2002),https://letterboxd.com/film/the-sum-of-all-fears/,https://a.ltrbxd.com/resized/film-poster/4/9/2/2/0/49220-the-sum-of-all-fears-0-1000-0-1500-crop.jpg?v=05d0a89baf,3,thriller
The Patriot (2000),https://letterboxd.com/film/the-patriot-2000/,https://a.ltrbxd.com/resized/sm/upload/0d/33/fj/4k/xuckWVcUGg7ZGU9b5U8CQDUr1RO-0-1000-0-1500-crop.jpg?v=dba0cbeb2d,3.36,action
Den of Thieves 2: Pantera (2025),https://letterboxd.com/film/den-of-thieves-2-pantera/,https://a.ltrbxd.com/resized/film-poster/5/3/1/8/9/4/531894-den-of-thieves-2-pantera-0-1000-0-1500-crop.jpg?v=f6902f0b09,2.93,crime
All Quiet on the Western Front (2022),https://letterboxd.com/film/all-quiet-on-the-western-front-2022/,https://a.ltrbxd.com/resized/film-poster/1/6/5/3/0/16530-all-quiet-on-the-western-front-0-1000-0-1500-crop.jpg?v=bff4d496a1,4.03,history
Office Christmas Party (2016),https://letterboxd.com/film/office-christmas-party/,https://a.ltrbxd.com/resized/sm/upload/pu/54/l8/x8/cW85VlHPm3pz0anupAXHL9eTh5b-0-1000-0-1500-crop.jpg?v=20c8b236c0,2.55,comedy
Me and Earl and the Dying Girl (2015),https://letterboxd.com/film/me-and-earl-and-the-dying-girl/,https://a.ltrbxd.com/resized/film-poster/2/3/5/4/8/0/235480-me-and-earl-and-the-dying-girl-0-1000-0-1500-crop.jpg?v=6b44d79a3d,3.84,comedy
Diary of a Wimpy Kid: Rodrick Rules (2011),https://letterboxd.com/film/diary-of-a-wimpy-kid-rodrick-rules/,https://a.ltrbxd.com/resized/film-poster/6/2/8/7/6287-diary-of-a-wimpy-kid-rodrick-rules-0-1000-0-1500-crop.jpg?v=8d6d10d6bd,3.67,family
Enola Holmes 2 (2022),https://letterboxd.com/film/enola-holmes-2/,https://a.ltrbxd.com/resized/film-poster/7/4/4/8/2/6/744826-enola-holmes-2-0-1000-0-1500-crop.jpg?v=8cf7dbcca4,3.27,adventure
Tangled (2010),https://letterboxd.com/film/tangled-2010/,https://a.ltrbxd.com/resized/sm/upload/0w/h1/le/1p/632CtNOARAuWYfdjoYn6ooP3BHQ-0-1000-0-1500-crop.jpg?v=845e60968f,3.99,family
Mamma Mia! (2008),https://letterboxd.com/film/mamma-mia/,https://a.ltrbxd.com/resized/sm/upload/10/5l/wu/jl/gOm2iMMbC6EonrFzmSQ8xvCa4Ei.jpg-0-1000-0-1500-crop.jpg?v=e49de6f770,3.81,comedy
Iron Man (2008),https://letterboxd.com/film/iron-man-2008/,https://a.ltrbxd.com/resized/film-poster/5/0/8/2/5/50825-iron-man-0-1000-0-1500-crop.jpg?v=f03c15122c,3.72,adventure
Downfall (2004),https://letterboxd.com/film/downfall/,https://a.ltrbxd.com/resized/sm/upload/pd/9a/uf/as/jOs0I1g4bzUnUhDz4elREczbMQL-0-1000-0-1500-crop.jpg?v=508748fdb7,4.11,war
Bruce Almighty (2003),https://letterboxd.com/film/bruce-almighty/,https://a.ltrbxd.com/resized/film-poster/5/1/7/4/9/51749-bruce-almighty-0-1000-0-1500-crop.jpg?v=23d0b1d321,3.23,comedy
Casper Meets Wendy (1998),https://letterboxd.com/film/casper-meets-wendy/,https://a.ltrbxd.com/resized/film-poster/2/5/3/3/1/25331-casper-meets-wendy-0-1000-0-1500-crop.jpg?v=de86b4b67c,2.74,family
Entergalactic (2022),https://letterboxd.com/film/entergalactic/,https://a.ltrbxd.com/resized/film-poster/9/2/5/5/5/5/925555-entergalactic-0-1000-0-1500-crop.jpg?v=bd1ceccbfc,3.75,romance
Spaceballs (1987),https://letterboxd.com/film/spaceballs/,https://a.ltrbxd.com/resized/film-poster/5/1/2/0/3/51203-spaceballs-0-1000-0-1500-crop.jpg?v=a9ab35ec2b,3.43,comedy
Tiger King (2020),https://letterboxd.com/film/tiger-king/,https://a.ltrbxd.com/resized/film-poster/6/0/9/3/9/2/609392-tiger-king-0-1000-0-1500-crop.jpg?v=fd5f76f48a,3.49,crime
Insurgent (2015),https://letterboxd.com/film/insurgent/,https://a.ltrbxd.com/resized/film-poster/1/8/5/9/7/0/185970-insurgent-0-1000-0-1500-crop.jpg?v=6d8e034ab4,2.48,action
Jarhead (2005),https://letterboxd.com/film/jarhead/,https://a.ltrbxd.com/resized/film-poster/2/6/9/3/2693-jarhead-0-1000-0-1500-crop.jpg?v=f56d3e6907,3.61,drama
Obi-Wan Kenobi (2022),https://letterboxd.com/film/obi-wan-kenobi-the-patterson-cut/,https://a.ltrbxd.com/resized/film-poster/8/2/8/6/1/5/828615-obi-wan-kenobi-0-1000-0-1500-crop.jpg?v=0c52e6dea7,3.12,drama
The King's Man (2021),https://letterboxd.com/film/the-kings-man/,https://a.ltrbxd.com/resized/film-poster/4/0/7/8/5/5/407855-the-king-s-man-0-1000-0-1500-crop.jpg?v=2e3a40da08,2.79,thriller
Palm Springs (2020),https://letterboxd.com/film/palm-springs-2020/,https://a.ltrbxd.com/resized/film-poster/5/1/5/4/6/7/515467-palm-springs-0-1000-0-1500-crop.jpg?v=d3df94888b,3.77,romance
Jojo Rabbit (2019),https://letterboxd.com/film/jojo-rabbit/,https://a.ltrbxd.com/resized/film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-1000-0-1500-crop.jpg?v=a5ad083635,4.03,war
War for the Planet of the Apes (2017),https://letterboxd.com/film/war-for-the-planet-of-the-apes/,https://a.ltrbxd.com/resized/sm/upload/8x/qv/nm/63/ijQHiImv16vNSeZQsmih04kwn0C-0-1000-0-1500-crop.jpg?v=fa3e7ba9ed,3.8,war
Guardians of the Galaxy Vol. 2 (2017),https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/,https://a.ltrbxd.com/resized/sm/upload/1g/4f/6e/5b/prvWMj8cBFgVn5MLlsjlvH2hiIh-0-1000-0-1500-crop.jpg?v=edbe39cfb9,3.53,action
Pixels (2015),https://letterboxd.com/film/pixels-2015/,https://a.ltrbxd.com/resized/film-poster/1/8/1/1/1/8/181118-pixels-0-1000-0-1500-crop.jpg?v=ce4f893760,2.26,action
Chronicle (2012),https://letterboxd.com/film/chronicle/,https://a.ltrbxd.com/resized/sm/upload/85/vy/rs/s4/dMULLYV1wxEdG6P3uziGqdo6uFl-0-1000-0-1500-crop.jpg?v=7e5bf356e6,3.51,thriller
Death on the Nile (2022),https://letterboxd.com/film/death-on-the-nile-2022/,https://a.ltrbxd.com/resized/film-poster/4/3/4/9/1/3/434913-death-on-the-nile-0-1000-0-1500-crop.jpg?v=b202451f0b,2.69,crime
1917 (2019),https://letterboxd.com/film/1917/,https://a.ltrbxd.com/resized/film-poster/4/6/0/1/5/5/460155-1917-0-1000-0-1500-crop.jpg?v=9eb1d95df5,4.11,history
Bird Box (2018),https://letterboxd.com/film/bird-box/,https://a.ltrbxd.com/resized/film-poster/3/4/0/2/0/2/340202-bird-box-0-1000-0-1500-crop.jpg?v=865f10f90a,2.89,thriller
Her (2013),https://letterboxd.com/film/her/,https://a.ltrbxd.com/resized/sm/upload/au/nb/i6/lq/fsoTLnUXEUTNuVCBxAJMY0HPPd-0-1000-0-1500-crop.jpg?v=16789732be,4,science-fiction
21 Jump Street (2012),https://letterboxd.com/film/21-jump-street/,https://a.ltrbxd.com/resized/film-poster/2/7/9/279-21-jump-street-0-1000-0-1500-crop.jpg?v=94d6b03998,3.6,crime
